Date,Predicted Sales
2017-12-30,1145.8504253737049
2017-12-31,1146.1720217933814
2018-01-01,1146.4936182130582
2018-01-02,1146.8152146327348
2018-01-03,1147.1368110524113
2018-01-04,1147.4584074720879
2018-01-05,1147.7800038917644
2018-01-06,1148.1016003114412
2018-01-07,1148.4231967311177
2018-01-08,1148.7447931507943
2018-01-09,1149.0663895704708
2018-01-10,1149.3879859901476
2018-01-11,1149.7095824098242
2018-01-12,1150.0311788295007
2018-01-13,1150.3527752491773
2018-01-14,1150.6743716688538
2018-01-15,1150.9959680885306
2018-01-16,1151.3175645082072
2018-01-17,1151.6391609278837
2018-01-18,1151.9607573475603
2018-01-19,1152.2823537672368
2018-01-20,1152.6039501869136
2018-01-21,1152.9255466065902
2018-01-22,1153.2471430262667
2018-01-23,1153.5687394459433
2018-01-24,1153.8903358656198
2018-01-25,1154.2119322852966
2018-01-26,1154.5335287049732
2018-01-27,1154.8551251246497
2018-01-28,1155.1767215443263
2018-01-29,1155.498317964003
2018-01-30,1155.8199143836796
2018-01-31,1156.1415108033561
2018-02-01,1156.4631072230327
2018-02-02,1156.7847036427092
2018-02-03,1157.106300062386
2018-02-04,1157.4278964820626
2018-02-05,1157.7494929017391
2018-02-06,1158.0710893214157
2018-02-07,1158.3926857410922
2018-02-08,1158.714282160769
2018-02-09,1159.0358785804456
2018-02-10,1159.3574750001221
2018-02-11,1159.6790714197987
2018-02-12,1160.0006678394752
2018-02-13,1160.322264259152
2018-02-14,1160.6438606788286
2018-02-15,1160.965457098505
2018-02-16,1161.2870535181817
2018-02-17,1161.6086499378584
2018-02-18,1161.930246357535
2018-02-19,1162.2518427772116
2018-02-20,1162.573439196888
2018-02-21,1162.8950356165647
2018-02-22,1163.2166320362414
2018-02-23,1163.538228455918
2018-02-24,1163.8598248755945
2018-02-25,1164.181421295271
2018-02-26,1164.5030177149476
2018-02-27,1164.8246141346244
2018-02-28,1165.146210554301
2018-03-01,1165.4678069739775
2018-03-02,1165.789403393654
2018-03-03,1166.1109998133306
2018-03-04,1166.4325962330074
2018-03-05,1166.754192652684
2018-03-06,1167.0757890723605
2018-03-07,1167.397385492037
2018-03-08,1167.7189819117139
2018-03-09,1168.0405783313904
2018-03-10,1168.362174751067
2018-03-11,1168.6837711707435
2018-03-12,1169.00536759042
2018-03-13,1169.3269640100968
2018-03-14,1169.6485604297734
2018-03-15,1169.97015684945
2018-03-16,1170.2917532691265
2018-03-17,1170.613349688803
2018-03-18,1170.9349461084798
2018-03-19,1171.2565425281564
2018-03-20,1171.578138947833
2018-03-21,1171.8997353675095
2018-03-22,1172.221331787186
2018-03-23,1172.5429282068628
2018-03-24,1172.8645246265394
2018-03-25,1173.186121046216
2018-03-26,1173.5077174658925
2018-03-27,1173.8293138855693
2018-03-28,1174.1509103052458
2018-03-29,1174.4725067249224
2018-03-30,1174.794103144599
2018-03-31,1175.1156995642755
2018-04-01,1175.4372959839523
2018-04-02,1175.7588924036288
2018-04-03,1176.0804888233054
2018-04-04,1176.402085242982
2018-04-05,1176.7236816626585
2018-04-06,1177.0452780823352
2018-04-07,1177.3668745020118
2018-04-08,1177.6884709216883
2018-04-09,1178.010067341365
2018-04-10,1178.3316637610415
2018-04-11,1178.6532601807182
2018-04-12,1178.9748566003948
2018-04-13,1179.2964530200713
2018-04-14,1179.618049439748
2018-04-15,1179.9396458594247
2018-04-16,1180.2612422791012
2018-04-17,1180.5828386987778
2018-04-18,1180.9044351184543
2018-04-19,1181.2260315381309
2018-04-20,1181.5476279578077
2018-04-21,1181.8692243774842
2018-04-22,1182.1908207971608
2018-04-23,1182.5124172168373
2018-04-24,1182.8340136365139
2018-04-25,1183.1556100561907
2018-04-26,1183.4772064758672
2018-04-27,1183.7988028955438
2018-04-28,1184.1203993152203
2018-04-29,1184.441995734897
2018-04-30,1184.7635921545736
2018-05-01,1185.0851885742502
2018-05-02,1185.4067849939267
2018-05-03,1185.7283814136033
2018-05-04,1186.04997783328
2018-05-05,1186.3715742529566
2018-05-06,1186.6931706726332
2018-05-07,1187.0147670923097
2018-05-08,1187.3363635119863
2018-05-09,1187.657959931663
2018-05-10,1187.9795563513396
2018-05-11,1188.3011527710162
2018-05-12,1188.6227491906927
2018-05-13,1188.9443456103693
2018-05-14,1189.265942030046
2018-05-15,1189.5875384497226
2018-05-16,1189.9091348693992
2018-05-17,1190.2307312890757
2018-05-18,1190.5523277087525
2018-05-19,1190.873924128429
2018-05-20,1191.1955205481056
2018-05-21,1191.5171169677822
2018-05-22,1191.8387133874587
2018-05-23,1192.1603098071355
2018-05-24,1192.481906226812
2018-05-25,1192.8035026464886
2018-05-26,1193.1250990661651
2018-05-27,1193.4466954858417
2018-05-28,1193.7682919055185
2018-05-29,1194.089888325195
2018-05-30,1194.4114847448716
2018-05-31,1194.7330811645481
2018-06-01,1195.054677584225
2018-06-02,1195.3762740039015
2018-06-03,1195.697870423578
